レース,year,着順,枠番,馬番,馬名,レース数,G1最高,G2最高,G3最高,性齢,斤量,騎手,タイム,上り,単勝,人気,馬体重,馬体重増減,東西,調教師,馬主
NHKM,2012,4,7,13,オリービン,8,,3,2,牡3,57,川田将雅,01:35.1,34.5,31.4,10,456,0,西, 橋口弘次,吉田照哉
NHKM,2012,5,5,9,セイクレットレーヴ,6,,2,,牡3,57,横山典弘,01:35.2,34.2,19,7,464,-4,東, 田中清隆,嶋田賢
NHKM,2012,6,7,14,ジャスタウェイ,5,,,1,牡3,57,福永祐一,01:35.3,34.2,10,4,474,-8,西, 須貝尚介,大和屋暁
NHKM,2012,7,4,7,ハナズゴール,5,,,1,牝3,55,田辺裕信,01:35.3,34.5,13.7,6,414,0,東, 加藤和宏,Ｍ．タバート
NHKM,2012,8,2,3,レオアクティブ,9,3,1,4,牡3,57,蛯名正義,01:35.3,34.4,23.4,9,446,-4,東, 杉浦宏昭,田中博之
NHKM,2012,9,8,16,ガンジス,4,,,,牡3,57,藤岡佑介,01:35.6,35.3,45.5,13,502,4,西, 矢作芳人,林正道
NHKM,2012,10,5,10,ブライトライン,9,,3,1,牡3,57,安藤勝己,01:35.6,34.4,10.4,5,502,-4,西, 鮫島一歩,ノースヒルズ
NHKM,2012,11,8,18,レオンビスティー,9,,7,2,牡3,57,内田博幸,01:36.0,36,74.6,17,490,8,西, 矢作芳人,備前島敏子
NHKM,2012,12,1,2,ネオヴァンクル,8,10,9,6,牡3,57,北村友一,01:36.0,35.8,139.3,18,502,-4,西, 音無秀孝,小林仁幸
NHKM,2012,13,7,15,サドンストーム,8,6,2,3,牡3,57,勝浦正樹,01:36.1,34.7,39,11,460,0,西, 西浦勝一,Ｈ．Ｈ．シェイク・ハムダン
NHKM,2012,14,6,11,マイネルロブスト,8,2,7,2,牡3,57,松岡正海,01:36.4,36.4,48.3,14,482,-6,東, 高橋裕,サラブレッドクラブ・ラフィアン
NHKM,2012,15,1,1,メジャーアスリート,8,2,,,牡3,57,池添謙一,01:36.6,36.2,43.9,12,498,-2,東, 高木登,Ｇ１レーシング
NHKM,2012,16,2,4,モンストール,5,9,4,1,牡3,57,柴田善臣,01:36.7,36,21.4,8,460,0,東, 尾関知人,前田幸治
NHKM,2013,1,4,8,マイネルホウオウ,9,,3,8,牡3,57,柴田大知,01:32.7,33.7,34.3,10,482,0,東, 畠山吉宏,サラブレッドクラブ・ラフィアン
NHKM,2013,2,8,17,インパルスヒーロー,4,,,1,牡3,57,田中勝春,01:32.7,33.9,14.2,6,496,-4,東, 国枝栄,佐々木完二
NHKM,2013,3,6,12,フラムドグロワール,5,4,,10,牡3,57,横山典弘,01:32.8,34.6,29.6,8,488,-10,東, 藤沢和雄,シルク
NHKM,2013,4,3,6,レッドアリオン,9,,2,3,牡3,57,川須栄彦,01:33.0,33.6,6.9,3,472,2,西, 橋口弘次,東京ホースレーシング
NHKM,2013,5,5,10,ガイヤースヴェルト,3,,,2,牡3,57,ウィリア,01:33.0,35.1,5.2,2,490,-2,東, 斎藤誠,サンデーレーシング
NHKM,2013,6,7,13,シャイニープリンス,4,,,,牡3,57,吉田豊,01:33.0,33.9,42.1,11,504,-2,東, 栗田博憲,小林昌志
NHKM,2013,7,7,15,エーシントップ,3,,1,,牡3,57,内田博幸,01:33.1,35.1,2.9,1,528,4,西, 西園正都,栄進堂
NHKM,2013,8,5,9,コパノリチャード,5,13,,1,牡3,57,福永祐一,01:33.1,35.3,7,4,490,0,西, 宮徹,小林祥晃
NHKM,2013,9,6,11,カシノピカチュウ,11,,5,2,牡3,57,Ｃ．デム,01:33.2,34.5,47.6,12,466,-6,西, 牧田和弥,柏木務
NHKM,2013,10,3,5,ディアセルヴィス,9,14,13,9,牡3,57,菱田裕二,01:33.4,34.5,310.7,18,452,-2,東, 高橋裕,ディアレスト
NHKM,2013,11,4,7,ゴットフリート,5,3,9,2,牡3,57,戸崎圭太,01:33.5,34.2,7.8,5,470,4,東, 斎藤誠,キャロットファーム
NHKM,2013,12,2,3,ストーミングスター,9,,3,10,牡3,57,Ｍ．デム,01:33.5,34.6,21.9,7,458,0,東, 藤原辰雄,グランド牧場
NHKM,2013,13,8,16,サトノネプチューン,4,14,11,,牡3,57,岩田康誠,01:33.5,35.2,118.2,16,484,-6,東, 堀宣行,里見治
NHKM,2013,14,8,18,モグモグパクパク,11,,6,4,牡3,57,北村宏司,01:33.5,35,92.3,14,446,-8,東, 高橋祥泰,小田切有一
NHKM,2013,15,1,1,アットウィル,7,11,12,6,牡3,57,三浦皇成,01:33.6,35.1,97.3,15,482,4,西, 領家政蔵,宮川純造
NHKM,2013,16,1,2,ザラストロ,9,12,10,1,牡3,57,武豊,01:33.8,34.6,71.5,13,482,0,東, 武藤善則,高橋一恵
NHKM,2013,17,2,4,マイネルエテルネル,6,16,3,1,牡3,57,石橋脩,01:33.8,35.3,296.5,17,466,6,西, 西園正都,サラブレッドクラブ・ラフィアン
NHKM,2013,18,7,14,ローガンサファイア,8,,,6,牝3,55,浜中俊,01:33.9,35.5,30.4,9,432,0,西, 佐々木晶,キャロットファーム
NHKM,2014,1,5,10,ミッキーアイル,5,,,1,牡3,57,浜中俊,01:33.2,34.8,1.9,1,478,8,西, 音無秀孝,野田みづき
NHKM,2014,2,1,2,タガノブルグ,8,,,4,牡3,57,三浦皇成,01:33.2,33.9,114.5,17,428,-6,西, 鮫島一歩,八木良司
NHKM,2014,3,1,1,キングズオブザサン,6,15,5,2,牡3,57,蛯名正義,01:33.2,33.7,78.4,12,464,0,西, 荒川義之,社台レースホース
NHKM,2014,4,2,4,ロサギガンティア,6,10,1,,牡3,57,柴田善臣,01:33.3,33.2,8.1,2,526,-2,東, 藤沢和雄,社台レースホース
