馬名,枠番,レース数,性齢,単勝,人気,馬体重,馬体重増減,東西,G1,G2,G3,G1_3,G2_3,G3_3,label
マイネルエテルネル,2,6,牡3,296.5,17,466,6,西,0,0,1,0,1,1,4着以下
ローガンサファイア,7,8,牝3,30.4,9,432,0,西,0,0,0,0,0,0,4着以下
ミッキーアイル,5,5,牡3,1.9,1,478,8,西,0,0,1,0,0,1,3着以内
タガノブルグ,1,8,牡3,114.5,17,428,-6,西,0,0,0,0,0,0,3着以内
キングズオブザサン,1,6,牡3,78.4,12,464,0,西,0,0,0,0,0,1,3着以内
ロサギガンティア,2,6,牡3,8.1,2,526,-2,東,0,1,0,0,1,0,4着以下
ホウライアキコ,4,6,牝3,22.9,8,440,-2,西,0,1,1,0,1,1,4着以下
ショウナンアチーヴ,3,7,牡3,8.7,3,474,4,東,0,1,0,1,1,0,4着以下
ダンツキャンサー,2,7,牝3,196.9,18,466,0,西,0,0,0,0,0,0,4着以下
アトム,5,3,牡3,17.4,7,460,12,西,0,0,0,0,1,0,4着以下
サトノルパン,4,6,牡3,8.9,4,454,6,西,0,0,0,0,0,1,4着以下
ショウナンワダチ,6,5,牡3,16.1,6,474,-2,東,0,0,0,0,1,0,4着以下
ウインフェニックス,7,9,牡3,52.2,9,452,2,東,0,0,0,0,0,0,4着以下
ベルルミエール,3,7,牝3,55.9,11,444,-6,西,0,0,0,0,1,0,4着以下
エイシンブルズアイ,8,5,牡3,13.5,5,450,-2,西,0,0,0,0,0,1,4着以下
アドマイヤビジン,7,10,牝3,84.1,13,468,-10,西,0,0,0,0,0,1,4着以下
ピークトラム,8,11,牡3,105,16,460,-4,西,0,0,0,0,1,1,4着以下
マイネルディアベル,8,9,牡3,89.8,15,442,0,東,0,0,0,0,0,0,4着以下
アルマエルナト,7,10,牡3,55,10,466,2,東,0,0,0,0,0,1,4着以下
カラダレジェンド,6,4,牡3,89.6,14,464,-6,東,0,1,0,0,1,0,4着以下
クラリティスカイ,4,7,牡3,6.4,3,478,-4,西,0,0,0,1,0,0,3着以内
アルビアーノ,5,3,牝3,6.5,4,512,6,東,0,0,1,0,0,1,3着以内
ミュゼスルタン,6,3,牡3,5.9,2,470,-6,東,0,0,1,0,0,1,3着以内
アヴニールマルシェ,1,4,牡3,7.2,5,488,-4,東,0,0,0,0,1,0,4着以下
グランシルク,1,5,牡3,4.3,1,480,2,東,0,0,0,0,1,0,4着以下
ヤングマンパワー,7,4,牡3,30.3,10,522,4,東,0,0,1,0,0,1,4着以下
フミノムーン,7,6,牡3,44.8,13,444,2,西,0,0,0,0,0,0,4着以下
ニシノラッシュ,8,5,牡3,27.3,9,476,0,東,0,0,0,0,1,1,4着以下
アルマワイオリ,5,7,牡3,10.7,6,468,2,西,0,0,0,1,1,1,4着以下
コスモナインボール,7,8,牡3,134.4,16,472,0,東,0,0,0,0,0,0,4着以下
ダノンメジャー,8,6,牡3,18,8,482,4,西,0,0,0,0,0,1,4着以下
グァンチャーレ,2,7,牡3,34.3,11,440,-2,西,0,0,1,0,0,1,4着以下
ヤマカツエース,6,9,牡3,14.2,7,488,6,西,0,1,0,0,1,1,4着以下
クールホタルビ,2,8,牝3,156.2,18,440,6,西,0,0,1,0,0,1,4着以下
ナイトフォックス,4,7,牡3,142.6,17,472,6,東,0,0,0,0,0,0,4着以下
レンイングランド,3,10,牡3,102.8,14,508,0,西,0,0,0,0,0,0,4着以下
マテンロウハピネス,8,5,牡3,35.6,12,444,2,西,0,0,0,0,0,1,4着以下
タガノアザガル,3,8,牡3,106.9,15,432,-8,西,0,0,1,0,0,1,4着以下
メジャーエンブレム,2,6,牝3,2.3,1,496,-6,東,1,0,1,1,0,1,3着以内
ロードクエスト,3,5,牡3,6.4,2,446,-6,東,0,0,1,0,1,1,3着以内
レインボーライン,8,9,牡3,40.7,12,430,-2,西,0,0,1,0,0,1,3着以内
ダンツプリウス,5,10,牡3,21.2,7,494,-4,西,0,1,0,0,1,1,4着以下
トウショウドラフタ,4,7,牡3,10,5,460,-4,東,0,0,1,0,0,1,4着以下
ハクサンルドルフ,6,4,牡3,37.3,11,452,0,西,0,0,0,0,0,0,4着以下
ブランボヌール,8,6,牝3,133,15,418,-4,西,0,0,1,1,0,1,4着以下
ブレイブスマッシュ,7,8,牡3,29.6,9,478,2,東,0,0,0,0,0,1,4着以下
ストーミーシー,7,6,牡3,32.3,10,524,4,東,0,0,0,0,1,0,4着以下
シャドウアプローチ,5,5,牡3,53.8,13,488,-6,西,0,0,0,1,1,0,4着以下
イモータル,4,4,牡3,7.6,3,516,-4,西,0,0,0,0,1,0,4着以下
シュウジ,1,6,牡3,27.8,8,494,0,西,0,0,1,0,1,1,4着以下
エクラミレネール,1,8,牝3,138.2,16,432,-4,東,0,0,0,0,1,0,4着以下
カネノイロ,8,9,牡3,234.1,17,448,-2,東,0,0,0,0,0,0,4着以下
ペルソナリテ,6,6,牝3,259.2,18,404,4,東,0,0,0,0,0,0,4着以下
アーバンキッド,2,5,牡3,11.3,6,466,0,東,0,0,0,0,0,1,4着以下
ティソーナ,3,6,牡3,9.8,4,488,0,東,0,0,0,0,0,0,4着以下
シゲルノコギリザメ,7,10,牡3,89.7,14,476,-4,西,0,0,0,0,0,1,4着以下
アエロリット,8,5,牝3,5.8,2,478,-2,東,0,0,0,0,0,1,3着以内
リエノテソーロ,7,5,牝3,37.5,13,450,-4,東,1,0,1,1,0,1,3着以内
ボンセルヴィーソ,3,7,牡3,14.4,6,462,-2,西,0,0,0,1,1,1,3着以内
レッドアンシェル,7,4,牡3,14.5,7,442,-14,西,0,0,0,0,0,1,4着以下
オールザゴー,6,7,牡3,57.1,16,480,6,西,0,0,0,0,0,0,4着以下
タイムトリップ,4,8,牡3,19.7,10,478,-2,東,0,0,0,0,0,1,4着以下
ミスエルテ,6,4,牝3,12.2,5,446,-4,西,0,0,1,0,0,1,4着以下
トラスト,7,9,牡3,77.4,17,472,0,西,0,0,0,0,0,1,4着以下
モンドキャンノ,1,5,牡3,6.3,3,472,-2,西,0,1,0,1,1,1,4着以下
ディバインコード,5,7,牡3,22.6,11,490,-2,東,0,0,0,0,1,1,4着以下
プラチナヴォイス,3,8,牡3,15.2,8,508,4,西,0,0,0,0,1,0,4着以下
ジョーストリクトリ,4,7,牡3,17.1,9,490,-2,西,0,1,0,0,1,0,4着以下
アウトライアーズ,2,6,牡3,7.7,4,480,0,東,0,0,0,0,1,0,4着以下
キョウヘイ,1,7,牡3,38.2,14,424,-4,西,0,0,1,0,0,1,4着以下
タイセイスターリー,5,5,牡3,38.5,15,518,-2,西,0,0,0,0,0,1,4着以下
ナイトバナレット,8,7,牡3,100.9,18,478,0,西,0,0,0,0,0,0,4着以下
カラクレナイ,2,5,牝3,5,1,484,4,西,0,1,0,0,1,0,4着以下
ガンサリュート,8,6,牡3,29.2,12,508,4,西,0,0,0,0,0,1,4着以下
ケイアイノーテック,6,6,牡3,12.8,6,456,0,西,0,0,0,0,1,0,3着以内
ギベオン,5,3,牡3,5.2,2,508,6,西,0,0,0,0,0,1,3着以内
レッドヴェイロン,8,6,牡3,25,9,474,4,西,0,0,0,0,0,1,3着以内
ミスターメロディ,8,5,牡3,14.7,7,486,4,西,0,0,1,0,0,1,4着以下
プリモシーン,3,4,牝3,10.8,5,478,0,東,0,0,1,0,0,1,4着以下
パクスアメリカーナ,5,5,牡3,9.6,4,464,2,西,0,0,0,0,0,1,4着以下
ダノンスマッシュ,4,6,牡3,75,13,470,4,西,0,0,0,0,0,0,4着以下
カツジ,1,4,牡3,15.6,8,484,6,西,0,1,0,0,1,0,4着以下
デルタバローズ,7,3,牡3,113.2,16,488,-14,東,0,0,0,0,1,0,4着以下
カシアス,7,7,牡3,137.1,17,480,2,西,0,0,1,0,1,1,4着以下
リョーノテソーロ,3,5,牡3,112.1,15,508,-6,東,0,0,0,0,0,0,4着以下
タワーオブロンドン,4,6,牡3,2.6,1,510,0,東,0,1,1,1,1,1,4着以下
フロンティア,2,5,牡3,66.8,12,462,6,西,0,0,1,0,0,1,4着以下
テトラドラクマ,2,5,牝3,7.5,3,458,-4,東,0,0,1,0,0,1,4着以下
ファストアプローチ,1,7,牡3,90.5,14,530,-14,東,0,0,0,0,0,1,4着以下
ルーカス,7,4,牡3,42.3,10,500,8,東,0,0,0,0,0,1,4着以下
アンコールプリュ,6,4,牝3,141.4,18,420,-2,西,0,0,0,0,1,0,4着以下
ロックディスタウン,8,4,牝3,66.1,11,490,-8,東,0,0,1,0,0,1,4着以下
